"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C12,C29,C32,C28,C30,C11,C34,C14,C15";"C_0402_1005Metric";9;"47nF";;;
2;"D2";"LED_0603_1608Metric";1;"BLUE";;;
3;"C13";"C_0402_1005Metric";1;"0.22uF";;;
4;"C44,C47";"C_0402_1005Metric";2;"0.1uF";;;
5;"C37,C39,C38";"C_0402_1005Metric";3;"5.1pF";;;
6;"C1,C2,C43";"C_0402_1005Metric";3;"1uF";;;
7;"C40";"C_0402_1005Metric";1;"39pF";;;
8;"C35,C33";"C_0402_1005Metric";2;"10nF";;;
9;"C25,C26";"C_0402_1005Metric";2;"10pF";;;
10;"FB1";"L_0402_1005Metric";1;"FerriteBead_Small";;;
11;"C41";"C_0402_1005Metric";1;"2.2pF";;;
12;"L5,L6";"L_0402_1005Metric";2;"LQG15HS15NJ02D";;;
13;"R9,R10";"R_0402_1005Metric";2;"22";;;
14;"L8";"L_0402_1005Metric";1;"LQG15HS22NG02D";;;
15;"J3";"SMA_Amphenol_132289_EdgeMount";1;"SMA_Edgelaunch";;;
16;"R48";"R_0402_1005Metric";1;"18";;;
17;"C45,C46";"C_0402_1005Metric";2;"8pF";;;
18;"C31";"C_0402_1005Metric";1;"56pF";;;
19;"L1,L2";"L_0402_1005Metric";2;"LQG15HS56NJ02D";;;
20;"R12,R3";"R_0402_1005Metric";2;"56k";;;
21;"R13,R11";"R_0402_1005Metric";2;"1k";;;
22;"J4";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
23;"U1";"SOT-23-5";1;"AP2112K-3.3";;;
24;"D1";"LED_0603_1608Metric";1;"RED";;;
25;"L7";"L_0402_1005Metric";1;"MLG1005S43NJTD25";;;
26;"R2,R1";"R_0402_1005Metric";2;"5.1k";;;
27;"U3";"LQFP-48_7x7mm_P0.5mm";1;"STM32F042C4Tx";;;
28;"C36";"C_0402_1005Metric";1;"100pF";;;
29;"C27";"C_0402_1005Metric";1;"1.8nF";;;
30;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"ABM8W-40.0000MHZ";;;
31;"L4,L3";"L_0402_1005Metric";2;"LQG15HZ27NJ02D";;;
32;"Y2";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"ECS-320-8-33Q-JES-TR";;;
33;"C42";"C_0402_1005Metric";1;"6.2pF";;;
34;"U2";"SOT-23-6";1;"WE-TVS-82400102";;;
35;"U4";"RN4678_MCH";1;"RN4678-V/RM113";;;
36;"U8";"QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm";1;"CC1200";;;
